length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
9937,1338,18,0,11,0,0,0.10012074864157779,0.0,0.013986717649426444,0.5220313666915609,6,0
1130,268,0,0,0,0,0,0.0610079575596817,0.0,0.04597701149425287,0.4052044609665427,0,0
256,52,0,0,2,0,0,0.04669260700389105,0.0,0.019455252918287938,0.8113207547169812,0,1
718,113,2,0,0,0,0,0.054242002781641166,0.0,0.01808066759388039,0.7017543859649122,1,1
153,5,2,0,0,0,0,0.16883116883116883,0.0,0.06493506493506493,0.8333333333333334,0,0
247,52,0,0,0,0,0,0.06451612903225806,0.0,0.13306451612903225,0.5849056603773585,0,0
656,126,0,0,0,0,0,0.0182648401826484,0.0,0.0136986301369863,0.6692913385826772,0,0
435,89,0,0,0,0,0,0.07339449541284404,0.0,0.05963302752293578,0.5888888888888889,0,0
3701,896,0,0,0,0,0,0.07644516477579687,0.0,0.06320907617504051,0.2831661092530658,6,0
1027,189,0,0,7,0,0,0.10894941634241245,0.0,0.01264591439688716,0.5947368421052631,5,1
420,82,0,0,0,0,0,0.03800475059382423,0.0,0.06175771971496437,0.7469879518072289,1,0
5486,1015,0,0,0,0,0,0.0377255330781848,0.0,0.013304173501002369,0.3671259842519685,1,0
3,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0,1
878,161,0,0,0,0,0,0.007963594994311717,0.0,0.0,0.7098765432098766,0,1
2998,578,0,0,0,0,0,0.03134378126042014,0.0,0.003334444814938313,0.3903281519861831,1,0
1053,293,0,0,5,0,0,0.10436432637571158,0.0,0.11859582542694497,0.41496598639455784,2,0
1079,83,0,0,9,0,0,0.30833333333333335,0.0,0.019444444444444445,0.7738095238095238,0,1
992,239,0,0,1,0,0,0.07452165156092648,0.0,0.026183282980866064,0.5,0,0
489,96,0,0,0,0,0,0.03877551020408163,0.0,0.014285714285714285,0.6701030927835051,0,1
916,138,1,0,0,0,0,0.13740458015267176,0.0,0.017448200654307525,0.7769784172661871,2,0
1758,360,0,0,0,0,0,0.047754405912450254,0.0,0.0022740193291642978,0.46537396121883656,1,0
493,91,0,0,1,0,1,0.024291497975708502,0.0,0.020242914979757085,0.8043478260869565,0,1
676,103,2,0,0,0,0,0.051698670605613,0.0,0.03988183161004431,0.7115384615384616,1,1
1080,184,0,0,2,0,0,0.013876040703052728,0.0,0.010175763182238668,0.6486486486486487,0,1
1808,306,0,0,0,0,0,0.017136539524599224,0.0,0.0,0.5472312703583062,1,0
274,46,0,0,1,0,0,0.06181818181818182,0.0,0.0,0.8723404255319149,0,0
218,36,1,0,2,0,0,0.0502283105022831,0.0,0.0365296803652968,0.918918918918919,0,1
2670,634,0,0,0,3,0,0.0943466866342194,0.0,0.02208910520404343,0.3165354330708661,0,0
354,77,0,0,1,0,0,0.03943661971830986,0.0,0.01971830985915493,0.782051282051282,0,0
198,42,0,0,1,0,0,0.04020100502512563,0.0,0.020100502512562814,0.8372093023255814,0,1
418,87,0,0,1,1,0,0.021479713603818614,0.0,0.02386634844868735,0.7840909090909091,1,1
349,44,2,0,0,0,0,0.12857142857142856,0.0,0.13142857142857142,0.9111111111111111,0,0
271,56,0,0,1,0,0,0.029411764705882353,0.0,0.0,0.7894736842105263,0,1
330,60,0,0,0,0,0,0.027190332326283987,0.0,0.03323262839879154,0.7540983606557377,0,0
453,79,0,0,0,0,0,0.10792951541850221,0.0,0.0,0.6875,0,0
5,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0,1
389,76,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.7792207792207793,0,0
779,148,0,0,0,0,0,0.029487179487179487,0.0,0.03333333333333333,0.697986577181208,1,1
293,62,0,0,0,1,0,0.030612244897959183,0.0,0.006802721088435374,0.7619047619047619,0,0
3219,625,0,0,0,2,2,0.04627329192546584,0.0,0.009627329192546583,0.45686900958466453,10,1
221,42,0,0,0,0,0,0.013513513513513514,0.0,0.0,0.813953488372093,0,0
2585,622,0,0,14,0,0,0.11562258313998454,0.0,0.00580046403712297,0.33226324237560195,1,1
288,54,0,0,0,0,0,0.020761245674740483,0.0,0.0,0.8363636363636363,0,1
4088,573,0,0,1,0,9,0.10295915871851308,0.0,0.07165566153093667,0.6062717770034843,0,0
677,87,3,0,1,0,0,0.08702064896755163,0.0,0.04277286135693215,0.8181818181818182,0,0
4783,904,0,0,3,0,0,0.025919732441471572,0.0,0.005434782608695652,0.4066298342541437,0,0
2022,254,3,0,1,0,0,0.16510133465150767,0.0,0.17004448838358874,0.788235294117647,0,0
1131,176,0,0,5,0,0,0.061837455830388695,0.0,0.012367491166077738,0.7570621468926554,3,1
354,81,0,0,0,0,0,0.0676056338028169,0.0,0.056338028169014086,0.7317073170731707,0,1
2645,543,0,0,0,0,0,0.05328798185941043,0.0,0.09939531368102797,0.3786764705882353,0,0
180,61,0,0,0,0,0,0.1712707182320442,0.0,0.022099447513812154,0.5645161290322581,0,1
1380,243,0,0,0,0,0,0.01882693700217234,0.0,0.0,0.5040983606557377,0,0
2358,342,4,0,2,1,0,0.13395506570580754,0.0,0.01695633743111488,0.6297376093294461,3,0
2373,506,0,0,0,0,0,0.06697556866048862,0.0,0.0037910699241786015,0.46153846153846156,0,0
265,54,0,0,0,0,0,0.011278195488721804,0.0,0.0,0.7636363636363637,3,0
956,179,0,0,0,0,0,0.01567398119122257,0.0,0.012539184952978056,0.6611111111111111,0,0
2757,490,0,0,1,0,0,0.030456852791878174,0.0,0.004713560551124003,0.48676171079429736,0,0
855,150,0,0,7,1,0,0.05724299065420561,0.0,0.004672897196261682,0.7086092715231788,0,1
1462,239,0,0,0,0,0,0.028024606971975393,0.0,0.022556390977443608,0.525,0,0
833,188,0,0,0,0,0,0.0803357314148681,0.0,0.0,0.5132275132275133,0,0
1477,217,1,0,5,0,9,0.07983761840324763,0.0,0.03721244925575101,0.7064220183486238,2,1
2866,556,0,0,0,1,1,0.018835019183815836,0.0,0.010812696198116497,0.43087971274685816,8,1
6985,1251,0,0,2,2,1,0.027626681935299168,0.0,0.005582593758946464,0.3961661341853035,6,1
84,20,0,0,0,0,0,0.09411764705882353,0.0,0.07058823529411765,0.7142857142857143,0,1
1975,362,0,0,0,0,0,0.0354251012145749,0.0,0.01568825910931174,0.5013774104683195,0,0
