length,num_words,num_urls,suspicious_words,special_char_ratio,label
1477,217,1,0,0.07983761840324763,1
2866,556,0,5,0.018835019183815836,1
6985,1251,0,2,0.027626681935299168,1
84,20,0,0,0.09411764705882353,1
1975,362,0,0,0.0354251012145749,0
832,132,1,0,0.08283313325330131,0
295,72,0,0,0.05405405405405406,0
403,87,0,0,0.0297029702970297,0
277,41,1,0,0.10071942446043165,0
262,29,1,0,0.12167300380228137,0
978,200,0,0,0.03677221654749745,0
373,89,0,1,0.05614973262032086,1
186,36,0,0,0.08021390374331551,0
7402,1529,0,0,0.05848980143185195,0
67,23,0,0,0.23529411764705882,1
1469,321,0,0,0.03333333333333333,1
126,33,0,0,0.06299212598425197,0
360,85,0,0,0.08033240997229917,1
3151,465,0,0,0.05298223350253807,1
1788,327,0,0,0.03577417551704863,0
2603,634,0,0,0.08755760368663594,1
148,31,0,0,0.040268456375838924,1
926,138,1,0,0.06256742179072276,0
1317,263,0,4,0.01896813353566009,1
1714,349,0,0,0.04139941690962099,1
773,177,0,0,0.05297157622739018,1
1608,325,0,0,0.07768800497203232,1
5,1,0,0,0.0,0
250,56,0,0,0.06772908366533864,1
2898,737,0,0,0.08727147292169714,0
1198,311,0,0,0.13427856547122602,1
2067,313,2,0,0.09284332688588008,0
733,143,0,0,0.02452316076294278,1
744,205,0,0,0.13288590604026845,0
900,157,1,0,0.05993340732519423,0
560,104,0,0,0.07308377896613191,0
149,13,1,0,0.14666666666666667,0
890,229,0,0,0.13468013468013468,1
1669,278,0,0,0.08383233532934131,1
905,250,0,0,0.11037527593818984,0
84,22,0,0,0.08235294117647059,0
353,94,0,0,0.08192090395480225,1
1207,226,0,0,0.028145695364238412,0
1332,269,0,3,0.04801200300075019,0
5034,977,0,4,0.03316782522343595,0
3262,496,3,1,0.0796812749003984,0
269,30,0,0,0.003703703703703704,1
648,80,1,0,0.14175654853620956,0
756,110,4,0,0.0726552179656539,1
574,106,0,0,0.019130434782608695,1
7496,1357,2,1,0.04335067360277444,0
5,1,0,0,0.0,1
960,180,0,0,0.029136316337148804,1
1045,133,3,0,0.11567877629063097,1
336,72,0,0,0.032640949554896145,1
118,29,0,0,0.05042016806722689,1
762,111,4,0,0.07470511140235911,1
1382,352,0,0,0.09761388286334056,0
298,34,0,1,0.39464882943143814,1
60,14,0,0,0.04918032786885246,1
428,66,0,0,0.030303030303030304,1
2561,495,0,0,0.03942232630757221,0
177,22,1,0,0.0898876404494382,0
2112,528,0,0,0.10269758637008992,1
2807,589,0,0,0.047364672364672365,0
1184,169,4,0,0.08438818565400844,0
95,25,0,0,0.07291666666666667,0
5281,814,0,0,0.06531616811813706,0
2084,370,0,0,0.04748201438848921,0
662,130,0,0,0.03619909502262444,0
1127,313,0,0,0.1356382978723404,0
2121,415,0,1,0.032516493873704054,0
856,137,1,0,0.059509918319719954,0
335,56,1,0,0.08630952380952381,0
6111,851,2,1,0.06528141361256544,1
1516,313,0,0,0.0903098220171391,0
3812,659,0,0,0.02832415420928403,0
631,127,0,0,0.0189873417721519,1
3780,731,0,0,0.06268183020364983,0
2511,437,0,3,0.03980891719745223,1
503,88,0,0,0.015873015873015872,0
448,107,0,0,0.08908685968819599,1
597,126,0,0,0.05518394648829431,0
84,22,0,0,0.08235294117647059,0
3003,707,0,0,0.11318242343541944,0
329,72,0,0,0.0696969696969697,0
666,132,0,0,0.020989505247376312,0
2825,517,0,0,0.03467799009200283,0
1702,188,0,1,0.08690546095126248,1
3445,510,3,0,0.09257109692396982,0
213,18,2,0,0.16355140186915887,0
1787,432,0,0,0.0732662192393736,0
364,44,0,0,0.010958904109589041,1
1530,204,0,0,0.08360548661005879,1
383,65,0,0,0.03125,0
1936,501,0,0,0.08828084667010841,0
1742,314,0,11,0.0189328743545611,1
1285,207,1,0,0.061430793157076204,0
974,220,0,0,0.04205128205128205,0
1485,224,0,0,0.06662180349932706,1
2599,394,1,10,0.04730769230769231,1
554,69,1,0,0.14954954954954955,0
1719,329,0,0,0.04127906976744186,0
918,194,0,0,0.05223068552774755,0
751,165,0,0,0.05053191489361702,0
344,57,1,0,0.06956521739130435,0
4525,1010,0,7,0.07136544410075121,0
2162,338,0,0,0.022653721682847898,0
990,237,0,0,0.03834510595358224,0
3123,602,0,0,0.027848911651728554,0
1687,224,2,0,0.1481042654028436,0
2504,387,2,1,0.08782435129740519,1
6508,1910,0,2,0.17683207866031647,1
2284,437,0,0,0.05908096280087528,0
1404,204,2,0,0.15729537366548044,0
1832,478,0,0,0.0845608292416803,0
532,108,0,0,0.04127579737335835,1
277,52,0,0,0.03237410071942446,0
710,147,0,0,0.046413502109704644,1
121,35,0,0,0.07377049180327869,0
1477,268,0,0,0.033152909336941816,0
4675,1036,0,0,0.06993156544054747,0
1762,393,0,0,0.058423142370958595,0
877,144,0,0,0.05125284738041002,0
768,175,0,0,0.05981794538361508,1
913,282,0,1,0.1673960612691466,0
397,48,1,0,0.21105527638190955,0
229,29,1,0,0.1391304347826087,0
63,19,0,0,0.0625,1
1689,474,0,0,0.10414201183431952,0
